"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","1","300 Ring Road, Block CB, Naraina Village, Naraina, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2068,1443,2963
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","2","Unnamed Road, Delhi Cantonment, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1853,1236,2776
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","3","Unnamed Road, Mahipalpur, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1579,1016,2453
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","4","P-268/3, Rock View, Delhi Cantonment, Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1642,1064,2531
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","5","Old Palam Road, Delhi Cantonment, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1857,1244,2771
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","6","Unnamed Road, CVD Line, Delhi Cantonment, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2169,1542,3050
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","7","P 13, Baird Place, Delhi Cantonment, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",2065,1458,2923
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","8","Mall Road, Khyber Lines, Delhi Cantonment, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1274,761,2131
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","9","Mahatma Jyothi Rao Phule Marg, Mahatma Jyoti Rao Phule Marg Area, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",651,318,1331
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","10","0 Shaheed Bhagat Singh Marg, DIZ Staff Quarters, Connaught Place, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",267,105,676
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","11","Mother Teresa Crescent, Talkatora Garden, Central Ridge Reserve Forest, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",499,165,1503
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","12","Jantar Mantar Road, Janpath, Connaught Place, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",685,399,1174
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","13","10, Aurangzeb Road, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1086,726,1623
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","14","Mahatma Gandhi Road, Kidwai Nagar West, Kidwai Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1533,1095,2145
"101","4900 Ramdwara Road, Chuna Mandi, Aram Bagh, Paharganj, New Delhi","15","H205, Block H, Sarojini Nagar, New Delhi","12/1/2018 - 12/31/2018, Every day, Daily Average",1442,1005,2067
